pdb_id,method,resolution_a,comp_id,comp_name,formula,formula_weight,comp_type,smiles,heavy_atoms,auth_asym_ids,classification,tier
8W11,X-RAY DIFFRACTION,2.2,PE4,2-{2-[2-(2-{2-[2-(2-ETHOXY-ETHOXY)-ETHOXY]-ETHOXY}-ETHOXY)-ETHOXY]-ETHOXY}-ETHANOL,C16 H34 O8,354.436,non-polymer,CCOCCOCCOCCOCCOCCOCCOCCO,24,"A,B",additive_code,
8W11,X-RAY DIFFRACTION,2.2,SO4,SULFATE ION,O4 S,96.063,non-polymer,[O-]S(=O)(=O)[O-],5,"A,B",additive_code,
9INN,X-RAY DIFFRACTION,2.08,A1D9T,"methyl (~{E})-4-[[(3~{R})-1,1-bis(oxidanylidene)thiolan-3-yl]amino]-4-oxidanylidene-but-2-enoate",C9 H13 N O5 S,247.268,non-polymer,COC(=O)/C=C/C(=O)N[C@@H]1CCS(=O)(=O)C1,16,"A,B",ligand,drug_like
9INO,X-RAY DIFFRACTION,2.13,A1D9U,"2-methylpropyl (~{E})-4-[[(3~{R})-1,1-bis(oxidanylidene)thiolan-3-yl]amino]-4-oxidanylidene-but-2-enoate",C12 H19 N O5 S,289.348,non-polymer,CC(C)COC(=O)/C=C/C(=O)N[C@@H]1CCS(=O)(=O)C1,19,"A,B",ligand,drug_like
9INP,X-RAY DIFFRACTION,2.57,A1D9X,"~{N}-[(3~{R})-1,1-bis(oxidanylidene)thiolan-3-yl]-2-chloranyl-~{N}-(2,2-dimethylpropyl)-5-nitro-pyrimidin-4-amine",C13 H19 Cl N4 O4 S,362.832,non-polymer,CC(C)(C)CN(c1c(cnc(n1)Cl)[N+](=O)[O-])[C@@H]2CCS(=O)(=O)C2,23,"A,B",ligand,drug_like
9INP,X-RAY DIFFRACTION,2.57,CIT,CITRIC ACID,C6 H8 O7,192.124,non-polymer,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,13,A,additive_code,
9INQ,X-RAY DIFFRACTION,2.17,A1D9W,"~{N}-[(3~{R})-1,1-bis(oxidanylidene)thiolan-3-yl]-2-chloranyl-5-nitro-pyrimidin-4-amine",C8 H9 Cl N4 O4 S,292.699,non-polymer,c1c(c(nc(n1)Cl)N[C@@H]2CCS(=O)(=O)C2)[N+](=O)[O-],18,"A,B",ligand,drug_like
9INQ,X-RAY DIFFRACTION,2.17,CIT,CITRIC ACID,C6 H8 O7,192.124,non-polymer,C(C(=O)O)C(CC(=O)O)(C(=O)O)O,13,"A,B",additive_code,
9INR,X-RAY DIFFRACTION,1.93,A1D9K,"~{N}-[(2~{S})-3-[1-[4-(4-cyanophenyl)phenyl]-1,2,3-triazol-4-yl]-1-[(3-oxidanylcyclobutyl)amino]-1-oxidanylidene-propan-2-yl]-1-phenyl-cyclopropane-1-carboxamid",C32 H30 N6 O3,546.619,non-polymer,c1ccc(cc1)C2(CC2)C(=O)N[C@@H](Cc3cn(nn3)c4ccc(cc4)c5ccc(cc5)C#N)C(=O)NC6CC(C6)O,41,"A,B",ligand,drug_like
9INR,X-RAY DIFFRACTION,1.93,PE3,"3,6,9,12,15,18,21,24,27,30,33,36,39-TRIDECAOXAHENTETRACONTANE-1,41-DIOL",C28 H58 O15,634.751,non-polymer,C(COCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCOCCO)O,43,B,additive_code,
9INR,X-RAY DIFFRACTION,1.93,SO4,SULFATE ION,O4 S,96.063,non-polymer,[O-]S(=O)(=O)[O-],5,"A,B",additive_code,
9IT1,X-RAY DIFFRACTION,2.0,P3G,"3,6,9,12,15-PENTAOXAHEPTADECANE",C12 H26 O5,250.332,non-polymer,CCOCCOCCOCCOCCOCC,17,A,additive_code,
9JF6,X-RAY DIFFRACTION,2.96,A1EBR,"methyl (~{Z})-4-[1-benzothiophen-2-ylmethyl-[(3~{S})-1,1-bis(oxidanylidene)thiolan-3-yl]amino]-4-oxidanylidene-but-2-enoate",C18 H19 N O5 S2,393.477,non-polymer,COC(=O)/C=C\C(=O)N(Cc1cc2ccccc2s1)[C@H]3CCS(=O)(=O)C3,26,A,ligand,drug_like
9JF6,X-RAY DIFFRACTION,2.96,1PG,2-(2-{2-[2-(2-METHOXY-ETHOXY)-ETHOXY]-ETHOXY}-ETHOXY)-ETHANOL,C11 H24 O6,252.305,non-polymer,COCCOCCOCCOCCOCCO,17,A,additive_polyether_structure,
9JJS,X-RAY DIFFRACTION,1.52,A1D9T,"methyl (~{E})-4-[[(3~{R})-1,1-bis(oxidanylidene)thiolan-3-yl]amino]-4-oxidanylidene-but-2-enoate",C9 H13 N O5 S,247.268,non-polymer,COC(=O)/C=C/C(=O)N[C@@H]1CCS(=O)(=O)C1,16,"A,B",ligand,drug_like
9JJZ,X-RAY DIFFRACTION,1.61,A1ECA,"methyl 4-[[(3~{S})-1,1-bis(oxidanylidene)thiolan-3-yl]-(2,2-dimethylpropyl)amino]-4-oxidanylidene-but-2-enoate",C14 H23 N O5 S,317.401,non-polymer,CC(C)(C)CN([C@H]1CCS(=O)(=O)C1)C(=O)C=CC(=O)OC,21,"A,B",ligand,drug_like
