rgroup_id,linker_id,linker_smiles,aryl_smiles,fragment_smiles,aryl_heavy_atoms,aryl_mw,chembl_pool_frequency
rg0123,3C,CCC,c1ccc(CCCC2CO2)cc1,[*]CCCc1ccc(CCCC2CO2)cc1,12,162.23,19
rg0124,alpha_Me,C(C),c1ccc(CCCC2CO2)cc1,[*]C(C)c1ccc(CCCC2CO2)cc1,12,162.23,19
rg0125,gem_diMe,C(C)(C),c1ccc(CCCC2CO2)cc1,[*]C(C)(C)c1ccc(CCCC2CO2)cc1,12,162.23,19
rg0126,direct,,c1ccc2c(c1)CCCO2,[*]c1ccc2c(c1)CCCO2,10,134.18,18
rg0127,1C,C,c1ccc2c(c1)CCCO2,[*]Cc1ccc2c(c1)CCCO2,10,134.18,18
rg0128,2C,CC,c1ccc2c(c1)CCCO2,[*]CCc1ccc2c(c1)CCCO2,10,134.18,18
rg0129,3C,CCC,c1ccc2c(c1)CCCO2,[*]CCCc1ccc2c(c1)CCCO2,10,134.18,18
rg0130,alpha_Me,C(C),c1ccc2c(c1)CCCO2,[*]C(C)c1ccc2c(c1)CCCO2,10,134.18,18
rg0131,gem_diMe,C(C)(C),c1ccc2c(c1)CCCO2,[*]C(C)(C)c1ccc2c(c1)CCCO2,10,134.18,18
rg0132,direct,,C1=C(c2ncno2)CNCC1,[*]C1=C(c2ncno2)CNCC1,11,151.17,17
rg0133,1C,C,C1=C(c2ncno2)CNCC1,[*]CC1=C(c2ncno2)CNCC1,11,151.17,17
rg0134,2C,CC,C1=C(c2ncno2)CNCC1,[*]CCC1=C(c2ncno2)CNCC1,11,151.17,17
rg0135,3C,CCC,C1=C(c2ncno2)CNCC1,[*]CCCC1=C(c2ncno2)CNCC1,11,151.17,17
rg0136,alpha_Me,C(C),C1=C(c2ncno2)CNCC1,[*]C(C)C1=C(c2ncno2)CNCC1,11,151.17,17
rg0137,gem_diMe,C(C)(C),C1=C(c2ncno2)CNCC1,[*]C(C)(C)C1=C(c2ncno2)CNCC1,11,151.17,17
rg0138,direct,,c1noc2c1CNCC2,[*]c1noc2c1CNCC2,9,124.14,14
rg0139,1C,C,c1noc2c1CNCC2,[*]Cc1noc2c1CNCC2,9,124.14,14
rg0140,2C,CC,c1noc2c1CNCC2,[*]CCc1noc2c1CNCC2,9,124.14,14
rg0141,3C,CCC,c1noc2c1CNCC2,[*]CCCc1noc2c1CNCC2,9,124.14,14
rg0142,alpha_Me,C(C),c1noc2c1CNCC2,[*]C(C)c1noc2c1CNCC2,9,124.14,14
rg0143,gem_diMe,C(C)(C),c1noc2c1CNCC2,[*]C(C)(C)c1noc2c1CNCC2,9,124.14,14
rg0144,direct,,c1cnoc1,[*]c1cnoc1,5,69.06,14
rg0145,1C,C,c1cnoc1,[*]Cc1cnoc1,5,69.06,14
rg0146,2C,CC,c1cnoc1,[*]CCc1cnoc1,5,69.06,14
rg0147,3C,CCC,c1cnoc1,[*]CCCc1cnoc1,5,69.06,14
rg0148,alpha_Me,C(C),c1cnoc1,[*]C(C)c1cnoc1,5,69.06,14
rg0149,gem_diMe,C(C)(C),c1cnoc1,[*]C(C)(C)c1cnoc1,5,69.06,14
rg0150,direct,,c1ccc2nccnc2c1,[*]c1ccc2nccnc2c1,10,130.15,14
rg0151,1C,C,c1ccc2nccnc2c1,[*]Cc1ccc2nccnc2c1,10,130.15,14
rg0152,2C,CC,c1ccc2nccnc2c1,[*]CCc1ccc2nccnc2c1,10,130.15,14
rg0153,3C,CCC,c1ccc2nccnc2c1,[*]CCCc1ccc2nccnc2c1,10,130.15,14
rg0154,alpha_Me,C(C),c1ccc2nccnc2c1,[*]C(C)c1ccc2nccnc2c1,10,130.15,14
rg0155,gem_diMe,C(C)(C),c1ccc2nccnc2c1,[*]C(C)(C)c1ccc2nccnc2c1,10,130.15,14
rg0156,direct,,c1ccc2[nH+]ccnc2c1,[*]c1ccc2[nH+]ccnc2c1,10,131.16,14
rg0157,1C,C,c1ccc2[nH+]ccnc2c1,[*]Cc1ccc2[nH+]ccnc2c1,10,131.16,14
rg0158,2C,CC,c1ccc2[nH+]ccnc2c1,[*]CCc1ccc2[nH+]ccnc2c1,10,131.16,14
rg0159,3C,CCC,c1ccc2[nH+]ccnc2c1,[*]CCCc1ccc2[nH+]ccnc2c1,10,131.16,14
rg0160,alpha_Me,C(C),c1ccc2[nH+]ccnc2c1,[*]C(C)c1ccc2[nH+]ccnc2c1,10,131.16,14
rg0161,gem_diMe,C(C)(C),c1ccc2[nH+]ccnc2c1,[*]C(C)(C)c1ccc2[nH+]ccnc2c1,10,131.16,14
rg0162,direct,,c1ccc2c(c1)CCC2,[*]c1ccc2c(c1)CCC2,9,118.18,13
rg0163,1C,C,c1ccc2c(c1)CCC2,[*]Cc1ccc2c(c1)CCC2,9,118.18,13
rg0164,2C,CC,c1ccc2c(c1)CCC2,[*]CCc1ccc2c(c1)CCC2,9,118.18,13
rg0165,3C,CCC,c1ccc2c(c1)CCC2,[*]CCCc1ccc2c(c1)CCC2,9,118.18,13
rg0166,alpha_Me,C(C),c1ccc2c(c1)CCC2,[*]C(C)c1ccc2c(c1)CCC2,9,118.18,13
rg0167,gem_diMe,C(C)(C),c1ccc2c(c1)CCC2,[*]C(C)(C)c1ccc2c(c1)CCC2,9,118.18,13
rg0168,direct,,c1cc2c3c(c1)ncn3CCC2,[*]c1cc2c3c(c1)ncn3CCC2,12,158.2,13
